SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,NumBars,NumBeats,EndOfFadeIn,Energy,Key,Loudness,Mode,NumSections,SegmentsLoudnessMax,SegmentsLoudnessMaxTime,NumSegments,SongHotness,StartOfFadeOut,NumTatums,Track7DigitalID,TrackID
17,b'SOUQQEA12A8C134B1B',149958,b'Cross Currents',b'ARIG6O41187B988BDD',37.16793,b'United States',-95.84502,b'Richard Souther',0,228.5971,8,0.041,127.756,5,0.579,b'High Tide',0,95,478,0.223,0,8,-16.11,1,12,-10.325,0.36789,946,0.334706549,217.426,1434,1560940,b'TRAABNV128F425CEE1'
18,b'SOILPQQ12AB017E82A',535188,b'Panjtan Ka Ghulam',b'AR1ZHYZ1187FB3C717',,b'',,b'Faiz Ali Faiz',0,599.24853,6,0.06,99.273,4,0.158,b'Sohna Nee Sohna Data',0,245,982,1.193,0,6,-8.032,1,33,-2.823,0.23308,3347,nan,591.999,3928,5916675,b'TRAABRB128F9306DD5'
19,b'SOXLBJT12A8C140925',372309,b'Gold',b'ARYKCQI1187FB3B18F',,b'',,b'Tesla',0,290.29832,7,0.725,150.062,4,0.931,b'Caught In A Dream',2004,177,714,0.145,0,7,-5.271,1,14,-1.269,0.41736,832,0.684136191,285.605,1428,4143071,b'TRAABVM128F92CA9DC'
20,b'SOZVMJI12AB01808AF',541101,b'Whatever Happened To Boredom?',b'ARNPAGP1241B9C7FD4',,b'',,b'lextrical',0,165.69424,7,0.011,138.331,4,0.127,b'Synthetic Dream',0,92,370,0.162,0,7,-6.787,1,8,-2.249,0.31272,600,0,157.391,739,5991843,b'TRAABXG128F9318EBD'
21,b'SOWTBJW12AC468AC6E',605134,b'1942-1952 Jimmy Wakely',b'ARQGYP71187FB44566',34.31109,b'Mineola AR',-94.02978,b'Jimmy Wakely',0,151.84934,1,0.799,86.186,3,0.929,b'Broken-Down Merry-Go-Round',0,68,211,2.827,0,1,-15.221,1,8,-8.507,0.65658,427,nan,146.199,421,6721979,b'TRAABYN12903CFD305'
22,b'SOBEBDG12A58A76D60',239740,b'All The Good Times',b'ARI3BMM1187FB4255E',38.8991,b'Washington',-77.029,b'Alice Stuart',0,220.78649,11,0.809,110.382,1,0.192,b'Kassie Jones',0,393,393,0.206,0,11,-8.514,1,13,-2.138,0.29799,828,0,207.656,787,3006504,b'TRAABYW128F4244559'
23,b'SOZCTXZ12AB0182364',386995,b'Un cafe_ setanta matins',b'AR5KOSW1187FB35FF4',49.80388,b'Dubai UAE',15.47491,b'Elena',0,269.58322,2,0.596,111.874,4,1,b'Setanta matins',0,120,497,0,0,2,-8.05,1,13,-3.534,0.50412,605,0.313562114,256.168,993,4292004,b'TRAACCG128F92E8A55'
24,b'SOBBUGU12A8C13E95D',223365,b'Miss Machine',b'ARMAC4T1187FB3FA4C',40.82624,b'Morris Plains NJ',-74.47995,b'The Dillinger Escape Plan',0,207.77751,7,0.381,166.862,4,0,b'Setting Fire to Sleeping Giants',2004,142,572,0.061,0,7,-4.264,1,11,-1.376,0.53888,719,0.666527846,204.696,1144,2439720,b'TRAACER128F4290F96'
25,b'SOBLGCN12AB0183212',652784,b'Sue Thompson - Her Very Best',b'AR47JEX1187B995D81',37.83721,b'Nevada MO',-94.35868,b'SUE THOMPSON',0,124.86485,10,0.697,137.522,4,0,b'James (Hold The Ladder Steady)',1985,70,285,0,0,10,-12.332,1,7,-7.371,0.27827,535,0.495293621,115.74,570,7232396,b'TRAACFV128F935E50B'
26,b'SOPSWQW12A6D4F8781',45730,b'Live',b'ARGIWFO1187B9B55B7',,b'',,b'Five Bolt Main',0,225.09669,7,0.53,164.672,1,0,b'Made Like This (Live)',0,617,617,0,0,7,-5.908,1,8,-3.069,0.92516,640,0.375984302,225.097,1233,488005,b'TRAACHN128F1489601'
27,b'SOZQDIU12A58A7BCF6',672016,b'Strictly Confidential',b'ARNTLGG11E2835DDB9',,b'',,b'Clp',0,338.31138,6,0.687,125.006,4,1,b'Superconfidential',0,175,704,0,0,6,-6.486,0,11,-2.644,0.25061,1815,nan,338.311,1409,7448953,b'TRAACIW12903CC0F6D'
28,b'SONYPOM12A8C13B2D7',160881,b'The Real Twang Thang',b'ARDNS031187B9924F0',32.67828,b'Georgia',-83.22295,b'Tim Wilson',0,186.48771,5,0.762,90.022,1,0.971,b'I Think My Wife Is Running Around On Me (Taco Hell)',2005,278,278,1.083,0,5,-4.516,1,11,-1.289,0.5291,662,nan,175.467,834,1699837,b'TRAACLV128F427E123'
29,b'SOBZBAZ12A6D4F8742',59744,"bWillie Bobo's Finest Hour""""",b'AROUOZZ1187B9ABE51',40.79195,b'New York NY [Spanish Harlem]',-73.94512,b'Willie Bobo',0,168.25424,8,0.812,127.025,4,0.792,b'Spanish Grease',1997,88,355,0.2,0,8,-9.616,1,8,-3.629,0.26355,552,nan,161.89,709,618725,b'TRAACNS128F14A2DF5'
30,b'SOVYKGO12AB0187199',373723,b'Shake A Hand',b'ARH4Z031187B9A71F2',40.73197,b'Newark NJ',-74.17418,b'Faye Adams',0,156.39465,8,0.569,95.957,3,0.689,b'Crazy Mixed Up World',1961,79,244,0.562,0,8,-18.051,1,9,-14.039,0.77194,434,0,150.634,487,5660441,b'TRAACOW128F933E35F'
31,b'SOGNCJP12A58A80271',228326,b'Occasional Rain',b'ARB29H41187B98F0EF',41.88415,b'Chicago',-87.63241,b'Terry Callier',0,342.56934,6,0.381,110.189,3,0.353,b'Do You Finally Need A Friend',1972,203,625,0.063,0,6,-11.939,1,16,-5.505,0.93335,897,0.413739836,333.154,1250,2503960,b'TRAACPE128F421C1B9'
32,b'SOLLHMX12AB01846DC',463514,b'The Emperor Falls',b'AR1Y2PT1187FB5B9CE',27.94017,b'Brandon',-82.32547,b'John Wesley',0,484.62322,4,0.283,138.007,4,0.893,b'The Emperor Falls',0,276,1106,28.172,0,4,-15.335,0,18,-8.468,0.58086,1565,0.377531645,480.363,2212,5158927,b'TRAACQT128F9331780'
33,b'SOYTPEP12AB0180E7B',643400,b'Best of The Shangri-Las',b'ARAJPHH1187FB5566A',40.7038,b'Queens NY',-73.83168,b'The Shangri-Las',0,164.80608,10,0.254,130.1,1,0,b'Twist and Shout',1964,342,342,0,0,10,-10.922,1,5,-8.158,0.47177,594,0.443291312,156.177,683,7133415,b'TRAACSL128F93462F4'
34,b'SOGXHEG12AB018653E',663761,b'20 Of Her Best',b'AR0RCMP1187FB3F427',30.08615,b'Beaumont TX',-94.10158,b'Billie Jo Spears',0,133.32853,4,0.384,160.839,1,0,b'It Makes No Difference Now',1992,352,352,0,0,4,-9.983,1,6,-5.261,0.25896,492,0,130.009,704,7357260,b'TRAACTB12903CAAF15'
35,b'SOOLYAZ12A6701F4A6',12882,b'Who Is Mike Jones?',b'AREBBGV1187FB523D2',,b'Houston TX',,"bMike Jones (Featuring CJ_ Mello & Lil' Bran)""""",0,173.66159,7,0.299,41.993,1,0,b'Laws Patrolling (Album Version)',0,119,119,0,0,7,-7.762,1,5,-1.844,0.40748,780,nan,164.908,952,133966,b'TRAACVS128E078BE39'
36,b'SOGOSOV12AF72A285E',270281,b'Tibiri Tabara',b'ARGUVEV1187B98BA17',,b'',,b'Sierra Maestra',0,313.12934,9,0.724,189.646,3,0.674,b'\xc2\xbfD\xc3\xb3nde va Chichi?',1997,332,1000,0,0,9,-9.512,1,13,-4.428,0.29795,1469,nan,307.688,2000,3003122,b'TRAACZK128F4243829'
37,b'SOJXVAH12A8C139700',244586,b'Piouhgd + Widowermaker!',b'ARPQ4Z01187FB3A736',29.42449,b'San Antonio TX',-98.49462,b'Butthole Surfers',0,450.84689,4,0.726,130.586,4,0.42,"b'Barking Dogs (From Piouhgd"")'""",0,242,970,0.467,0,4,-9.063,0,20,-4.004,0.84427,1618,0.593943076,426.104,2911,2788206,b'TRAADDS128F425C68B'
38,b'SOVXMTN12A8C135A18',157648,b'Profities',b'ARNQAVF11F4C844C04',,b'',,b'Despina Vandi',0,303.09832,8,0.532,128.292,4,0.83,b'OUTE ENA EFHARISTO',0,158,639,0.067,0,8,-8.879,0,18,-2.859,0.96109,1002,nan,294.818,1277,1658618,b'TRAADED128F42741FD'
39,b'SORSECL12AB0182267',644631,b'Cracks',b'ARXUT4W1187FB48BEB',,b'',,b'Javier Navarrete',0,128.83546,3,0,90.932,3,1,b'Midnight Swim',0,62,191,0,0,3,-17.699,1,5,-7.285,1.22584,269,0.394394856,121.423,382,7143933,b'TRAADEV128F9348C0A'
40,b'SOOGFBZ12AC3DF7FF2',730551,b'Pieces Of Time',b'ARDD1RC1187B9B52B4',,b'',,b'Jacob Young',0,456.30649,1,0.611,89.667,4,0.747,b'In A Subtle Way',0,167,675,0.241,0,1,-19.478,1,17,-9.455,0.36875,2072,0,451.315,2701,8093189,b'TRAADHS12903CE70A9'
41,b'SOMSBGZ12AB018C4CB',709879,b'The Palest Grey',b'ARLGWFM1187FB4AC9F',34.05349,b'California - LA',-118.24532,"bScarlet's Remains""""",0,198.73914,7,0.673,115.061,4,0.731,b'Spin',2007,87,371,0,0,7,-7.469,1,8,-4.575,0.6843,569,0.450992312,193.016,1114,7872290,b'TRAADIV12903CB15C1'
42,b'SONYRZV12AB018AF70',706005,b'A Match & Some Gasoline',b'ARWYVP51187B98C516',42.33168,b'Detroit MI',-83.04792,b'The Suicide Machines',0,95.68608,2,0.421,115.887,4,0.744,b'Burning In The Aftermath',2003,41,168,0,0,2,-2.022,1,4,-0.047,0.34519,284,0.528782481,87.806,337,7830058,b'TRAADLH12903CA70EE'
43,b'SONQBUB12A6D4F8ED0',42595,"bJump Back - The Best Of The Rolling Stones_ '71-'93""""",b'ARFCUN31187B9AD578',51.50632,b'London England',-0.12714,b'The Rolling Stones',0,271.49016,9,0.301,139.333,1,0,b'Angie (1993 Digital Remaster)',0,616,616,0.171,0,9,-10.358,0,12,-5.681,0.34849,847,0.83449262,263.784,1232,453879,b'TRAADLN128F14832E9'
44,b'SOHGKJW12AC468A8BD',782470,b'Lo Mejor con La Orq. Broadway',b'AR6YDKV1187B989230',,b'',,b'Roberto Torres',0,226.66404,0,0.863,117.271,4,0.453,b'Sabor Guajiro',0,108,436,0.311,0,0,-12.716,1,10,-8.443,0.28152,777,0,219.51,872,8653966,b'TRAADLR12903CF8D7E'
45,b'SOINBCU12A6D4F94C0',28723,b'Grown Man',b'ARV1JVD1187B9AD195',35.91463,b'Chapel Hill NC',-79.05661,b'Loudon Wainwright III',0,190.48444,3,0.544,102.428,4,0.496,b'Human Cannonball',1995,76,307,0.258,0,3,-15.663,1,7,-7.671,1.06825,532,0.510119314,177.029,919,315300,b'TRAADLX128F1469250'
46,b'SOTWVQT12A58A79650',557761,b'A Bothered Mind',b'AR7TTS41187B9B42D3',34.36401,b'Oxford MS',-89.51877,b'R.L. Burnside',0,277.78567,2,0,89.984,4,0,b'Glory Be',2004,103,416,0.24,0,2,-6.944,1,11,-2.627,0.35805,1030,0.482137585,267.453,831,6169318,b'TRAADMH128F9343E59'
47,b'SOTSEJY12AB0180F56',417945,b'Greatest Hits',b'ART3O5Z1187B9AB043',32.77815,b'Dallas TX',-96.7954,b'Stevie Ray Vaughan',0,248.78975,1,0.754,116.721,4,0.522,b'Crossfire',1992,119,479,0.183,0,1,-7.805,1,12,-3.981,0.29956,823,nan,246.19,958,4659073,b'TRAADNA128F9331246'
48,b'SOTSETT12AB01863B8',575531,b'Bluesman',b'AR5U94U1187FB5CDCF',,b'',,b'John Hammond',0,195.3171,7,0.98,123.142,4,0.678,"bI Can't Be Satisfied""""",2002,96,388,0,0,7,-10.7,1,10,-4.42,0.33732,767,nan,187.617,776,6378564,b'TRAADOF12903CAA1C1'
49,b'SOTUNMH12A6D4FA3E6',234425,b'Etiquette',b'ARRJNTE1187FB44E12',,b'',,b'Casiotone For The Painfully Alone',0,175.72526,0,0.522,141.919,4,0.445,b'Nashville Parthenon',2006,101,407,0.734,0,0,-10.93,1,6,-5.871,0.1555,979,0.785892288,168.699,814,2573759,b'TRAADQX128F422B4CF'
50,b'SOEPPKB12AB018418B',505301,b'Ec8or',b'AR6IRG41187B9A4D98',52.51607,b'Berlin Germany',13.37698,b'Ec8or',0,217.23383,10,0.005,95.596,4,1,b'Cocain Ducks',1995,86,345,1.042,0,10,-9.493,0,9,-1.58,1.51358,698,nan,213.496,1379,5591305,b'TRAADRN128F932D607'
51,b'SOGKIWV12A6D4F86C4',74655,b'Too Much Too Soon',b'ARS1OWB1187B99EEAD',,b'New York NY',,b'The New York Dolls',0,344.05832,11,0.425,154.953,1,0,b'Human Being',1974,881,881,0.068,0,11,-9.253,1,20,-5.978,0.80556,1141,0.561692411,335.029,1762,770031,b'TRAADVH128EF34DE7A'
52,b'SOPHYIS12AAF3B35A3',322532,b'Bossa Nova Stories',b'ARGMXQW1187FB54C34',-23.56287,b'Sao Paulo Brazil',-46.65466,b'Eliane Elias',0,251.42812,7,0.391,86.091,5,0.551,b'The More I See You',2009,70,359,0.071,0,7,-12.009,1,9,-6.318,0.71593,887,0.43483809,237.598,1075,3635000,b'TRAADYB128F92D7E73'
53,b'SOFHBAR12A6701D0FE',14592,b'Love_ Peace & Nappiness',b'AROEL1B1187B988B90',,b'South Jamaica Queens',,b'Lost Boyz',0,269.7922,7,0.715,90.218,4,1,b'Certain Things We Do',1997,101,407,0.218,0,7,-11.043,1,9,-6.195,0.62984,1086,0.405115722,257.416,813,151792,b'TRAADYI128E078FB38'
54,b'SOCPRKM12AB018A2FD',515081,b'Germicide',b'AR8W8DN1187FB35ED0',34.05349,b'Los Angeles CA',-118.24532,b'The Germs',0,206.05342,11,0.641,133.144,1,0,b'Forming',1977,464,464,0,0,11,-11.506,0,10,-6.231,0.49261,825,nan,206.053,927,5714272,b'TRAAEAM128F934B199'
55,b'SOFGHAM12AB0186412',765750,b'Mafu\xc3\xa1',b'ARUWLCL1187FB549B8',,b'',,b'Yamandu Costa',0,190.04036,2,0.105,205.317,4,0,b'Mafu\xc3\xa1',0,156,626,0,0,2,-14.179,1,9,-3.258,0.42282,786,nan,176.924,1252,8478956,b'TRAAEDJ12903CCE390'
56,b'SODHVES12A6701CE6B',17220,b'The Road To Hell Part 2',b'AR3793X1187FB50CB3',,b'Middlesbrough England',,b'Chris Rea',0,241.162,9,0.222,180.149,4,0,b'Driving Home For Christmas',1986,178,716,0.549,0,9,-8.531,1,9,-4.016,0.43701,1011,0.767727748,230.342,1431,183976,b'TRAAEEH128E0795DFE'
57,b'SOXIATP12AAF3B2184',617077,b'Vanguard Visionaries',b'ARINEWW1187FB5577E',,b'',,b'Perrey And Kingsley',0,122.64444,0,0.61,102.538,4,0.869,b'Spooks In Space',1966,50,203,0.99,0,0,-8.541,0,8,-3.565,0.67767,537,0.43483809,109.627,815,6856216,b'TRAAELO128F9302DD1'
58,b'SOGNQWU12A8AE4868F',278999,b'Be Yourself Tonight',b'ARDGB6U1187FB3AD07',51.50632,b'London England',-0.12714,b'Eurythmics',0,207.0722,0,0.442,84.164,4,0.853,b'Tous Les Gar\xc3\xa7ons Et Les Filles',1985,55,279,2.583,0,0,-6.629,1,5,-2.015,2.19064,742,0.38293509,202.757,837,3107981,b'TRAAEMJ128F425A917'
59,b'SOYQOFI12A6D4F76E1',19601,b'Hometown 2001',b'AR2J2WF1187FB46271',54.48303,b'Egremont Cumbria England',-3.53444,b'Francis Dunnery',0,300.79955,7,0.666,124.175,4,0.698,b'Too Much Saturn',1995,154,625,0,0,7,-13.33,1,11,-5.54,0.54887,1095,0.610474258,298.347,1250,205540,b'TRAAENC128F1451DE9'
60,b'SOVOLGY12A6D4F822B',38599,b'Eat / Kiss: Music For The Films By Andy Warhol',b'ARUI8651187B9ACF52',,b'Garnant Wales',,b'John Cale',0,228.46649,7,0.458,137.004,1,0,b'Movement 4 [from Kiss] (Album Version)',1997,523,523,0,0,7,-12.412,1,12,-8.17,0.70867,757,0.226555314,228.466,1046,413033,b'TRAAENP128F147BF32'
61,b'SOMZCVH12AB0182B8E',619882,b'The Ultimate Most Relaxing New Age Piano in the Universe',b'AR89DTT1187B9A7ED5',37.77916,b'California - SF',-122.42005,b'Suzanne Ciani',0,239.59465,7,0.527,106.33,4,0.526,b'Stream',0,105,423,0.311,0,7,-21.552,1,8,-14.94,1.37085,694,0.415983118,236.507,846,6885148,b'TRAAEOU128F9309DE0'
62,b'SONXJBL12AAF3B2C0C',618615,b'Classic Gold: Best of All',b'ARMD0G81187B99A519',,b'',,b'Vickie Winans',0,228.93669,11,0.172,107.961,4,1,b'Make Me Over',0,100,407,0.338,0,11,-8.686,0,9,-3.607,0.49748,838,nan,219.574,815,6871078,b'TRAAERU128F930674F'
63,b'SOYWZTU12AB0180E26',681639,b'The Berzerker',b'AR0VZWC1187B99BA57',-37.81753,b'Melbourne Australia',144.96715,b'The Berzerker',0,165.61587,1,0.108,174.287,3,0.132,b'Deform (live)',2000,163,492,2.171,0,1,-6.222,1,7,-3.73,1.04916,642,0,165.616,985,7565003,b'TRAAEUB12903CDD3EA'
64,b'SOLGHDZ12AB0183B11',449471,b'Holy Roller Novocaine',b'ARF2EHS1187B994F4E',36.16778,b'Nashville Tennessee',-86.77836,b'Kings Of Leon',0,187.92444,0,0.612,116.823,4,0.347,b'Wicker Chair',2003,89,361,0.328,0,0,-5.907,1,8,-1.357,0.35067,504,0.685940227,180.344,722,4989932,b'TRAAEWG128F930B3A4'
65,b'SOTNTNJ12AAA15FBD6',321356,b'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)',b'ARZKRD01187FB45FD2',,b'',,b'Edith Lefel',0,276.50567,0,0.29,101.972,4,1,"bAn ti chans'""""",0,114,462,0.299,0,0,-4.638,1,13,-1.342,0.16172,1240,0,261.956,1846,3619557,b'TRAAEXM128F92D47C8'
66,b'SOXZXXV12AAF3B3A67',530141,b'I Will Love Again',b'ARK4H5K1187B992F74',,b'',,b'Taras',0,200.25424,11,0.056,127.97,4,0,"bI Will Love Again (JJ's Club Radio)""""",0,104,420,0,0,11,-5.884,0,7,-3.069,1.59456,742,nan,194.844,841,5857433,b'TRAAFEB128F92F8694'
67,b'SOPIKEG12A58291636',104765,b'White Trash ......',b'AR06EB01187FB40150',,b'Berkeley CA',,b'NOFX',0,144.50893,4,0.093,152.622,4,0.358,b'Stickin In My Eye',1992,87,351,0.237,0,4,-7.787,0,3,-3.785,0.77385,576,0.671236027,140.057,703,1082135,b'TRAAFJW128F428A424'
68,b'SOIRNBO12AC468D207',695158,b'Murskapunkkia',b'ARKPDBH1242077DEB1',,b'',,b'Murskahumppa',0,285.17832,7,0.379,110.787,3,1,b'Ota kiinni',0,166,523,0,0,7,-8.488,1,15,-5.188,1.30138,647,nan,275.853,1045,7717117,b'TRAAFKJ12903D02552'
69,b'SOSBDSF12AB0189007',509770,b'Canci\xc3\xb3n Animal',b'ARBJSO81187B9BA09B',,b'',,b'Soda Stereo',0,246.69995,7,0.161,112.903,4,1,b'Entre Can\xc3\xadbales',1990,114,459,0.322,0,7,-9.603,1,9,-4.66,0.48218,796,0.62616576,224.049,919,5646037,b'TRAAFMS128F933AB23'
70,b'SOIJXXM12A8C1416D6',223779,b'The Man from Snowy River',b'ARRC2JF1187B9B6A93',-24.9162,b'AUSTRALIA',133.39311,b'Bruce Rowland',0,84.03546,7,0.469,115.642,4,0.44,b'Rosemary Recalls',1985,39,158,0.328,0,7,-26.266,1,6,-16.762,0.5884,186,0,75.79,317,2445709,b'TRAAFON128F42926FB'
71,b'SOHMMMC12AB0181C42',466577,b'One World One People',b'ARNIFX51187FB418EA',,b'',,b'Xcultures',0,273.52771,1,0.652,125.013,4,1,b'Sudanese Dance',2000,139,561,2.177,0,1,-6.305,1,7,-2.016,0.26364,1287,0.199238262,268.893,1121,5190145,b'TRAAFRU128F9339158'
72,b'SOVJXVJ12A8C13517D',148547,b'Tales Of Wonder',b'ARCCRTI11F4C845308',,b'',,b'White Heart',0,298.84036,5,0.596,113.277,4,0.872,b'Where The Thunder Roars (Tales Of Wonder Album Version)',0,140,562,19.093,0,5,-9.998,1,12,-5.494,6.76874,894,0.265861049,289.46,1124,1548122,b'TRAAFSM128F425A2C5'
73,b'SOFZCTA12AB0188D8F',423012,b'Waterbed Hev',b'ARNVH8S1187FB52F86',18.11526,b'Jamaica West Indies',-77.27348,b'Heavy D / McGruff',0,161.38404,5,0.665,96.979,4,0.895,b'Wanna Be A Player',1997,64,260,0.165,0,5,-9.161,0,3,-2.828,0.42379,821,0.237733942,161.384,1039,4717505,b'TRAAFUJ128F933F42B'
74,b'SOLRYQR12A670215BF',7133,b'The Best Of Both Worlds',b'ARNLO5S1187B9B80CC',,b'Pasadena CA',,b'Van Halen',0,209.29261,8,0.455,140.995,1,0.41,b'Panama (Remastered Album Version)',0,487,487,0,0,8,-4.865,1,12,-1.287,0.67744,723,0.82448213,206.623,975,72173,b'TRAAFYL128E07856A7'
75,b'SOCHRXB12A8AE48069',358442,b'Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness',b'ARTDQRC1187FB4EFD4',,b'Los Angeles CA',,b'Black Eyed Peas',0,229.61587,11,0.205,105.206,4,1,"bLet's Get It Started""""",2004,100,408,0,0,11,-4.882,0,8,-0.695,0.72012,869,0.624425493,213.664,816,3999070,b'TRAAGCZ128F93210FD'
76,b'SOKBBXO12A6701DEA0',15567,b'Things Falling Apart',b'ARK9TRQ1187B99C095',41.50471,b'Cleveland OH',-81.69074,b'Nine Inch Nails',0,426.89261,0,0.05,63.017,4,0.378,b'Metal',2000,110,444,0.286,0,0,-12.951,0,12,-6.489,0.38528,888,0.635536649,399.9,888,163543,b'TRAAGEC128E079252C'
